Tempo [s],Temperatura [K],Cl,Na,NaCl
32.49999999999944,0.43816780266332,203.0,141.0,585.0
32.516666666666104,0.4377576637501087,203.0,141.0,585.0
32.53333333333277,0.43761639205037034,203.0,141.0,585.0
32.549999999999436,0.43752249065192433,203.0,141.0,585.0
32.5666666666661,0.43756554051184315,203.0,141.0,585.0
32.58333333333277,0.43744036533527797,202.0,140.0,586.0
32.59999999999943,0.4362735568463035,202.0,140.0,586.0
32.6166666666661,0.4355995852219625,202.0,140.0,586.0
32.633333333332764,0.4355196694553952,202.0,140.0,586.0
32.64999999999943,0.4354821057097297,202.0,140.0,586.0
32.666666666666096,0.4354284173592624,202.0,140.0,586.0
32.68333333333276,0.43543664249757247,202.0,140.0,586.0
32.69999999999943,0.43515973077705955,202.0,140.0,586.0
32.71666666666609,0.43524941467647993,202.0,140.0,586.0
32.73333333333276,0.43534727323732086,202.0,140.0,586.0
32.749999999999424,0.4354659333448436,202.0,140.0,586.0
32.76666666666609,0.43633410939647105,202.0,140.0,586.0
32.783333333332756,0.43577336504823755,202.0,140.0,586.0
32.79999999999942,0.43658340278365493,202.0,140.0,586.0
32.81666666666609,0.4366899061897942,202.0,140.0,586.0
32.83333333333275,0.4368565616339897,202.0,140.0,586.0
32.84999999999942,0.4374079529481171,202.0,140.0,586.0
32.866666666666084,0.4372515232421962,202.0,140.0,586.0
32.88333333333275,0.4378814414159916,202.0,140.0,586.0
32.899999999999416,0.43693247711920585,202.0,140.0,586.0
32.91666666666608,0.43739041453663746,202.0,140.0,586.0
32.93333333333275,0.43792507199519926,202.0,140.0,586.0
32.94999999999941,0.4383396326810598,202.0,140.0,586.0
32.96666666666608,0.4384185186656519,202.0,140.0,586.0
32.983333333332745,0.4378367160720938,201.0,139.0,587.0
32.99999999999941,0.437962977666898,201.0,139.0,587.0
33.016666666666076,0.43731073100202467,201.0,139.0,587.0
33.03333333333274,0.43739559503668196,201.0,139.0,587.0
33.04999999999941,0.4371585081031458,201.0,139.0,587.0
33.06666666666607,0.4371578041189715,201.0,139.0,587.0
33.08333333333274,0.4376957336438933,201.0,139.0,587.0
33.099999999999405,0.4378376600884988,201.0,139.0,587.0
33.11666666666607,0.437580150211015,201.0,139.0,587.0
33.133333333332736,0.43757511516522296,201.0,139.0,587.0
33.1499999999994,0.4371382142417642,201.0,139.0,587.0
33.16666666666607,0.43731310691422737,201.0,139.0,587.0
33.18333333333273,0.43679493767582184,201.0,139.0,587.0
33.1999999999994,0.437224358085114,201.0,139.0,587.0
33.216666666666065,0.43677693798391387,201.0,139.0,587.0
33.23333333333273,0.43692510690946473,201.0,139.0,587.0
33.249999999999396,0.43715600267992993,201.0,139.0,587.0
33.26666666666606,0.43753555590426607,200.0,138.0,588.0
33.28333333333273,0.4379193482157024,200.0,138.0,588.0
33.29999999999939,0.4372412653363055,200.0,138.0,588.0
33.31666666666606,0.43719306269910246,200.0,138.0,588.0
33.333333333332725,0.4369163413513132,200.0,138.0,588.0
33.34999999999939,0.4368828197831469,200.0,138.0,588.0
33.366666666666056,0.4370053214402302,200.0,138.0,588.0
33.38333333333272,0.4374465734907164,200.0,138.0,588.0
33.39999999999939,0.4379335760280229,199.0,137.0,589.0
33.41666666666605,0.43799514502084913,199.0,137.0,589.0
33.43333333333272,0.43815214931613783,199.0,137.0,589.0
33.449999999999385,0.43778068051170377,199.0,137.0,589.0
33.46666666666605,0.4376637039626835,199.0,137.0,589.0
33.483333333332716,0.4383296512251795,199.0,137.0,589.0
33.49999999999938,0.4376924921796942,199.0,137.0,589.0
33.51666666666605,0.43816459225026066,199.0,137.0,589.0
33.53333333333271,0.4388475872141813,199.0,137.0,589.0
33.54999999999938,0.4386398924231487,199.0,137.0,589.0
33.566666666666045,0.43862203853172094,199.0,137.0,589.0
33.58333333333271,0.43932258592598,199.0,137.0,589.0
33.599999999999376,0.4404050176517425,199.0,137.0,589.0
33.61666666666604,0.4402551651678063,199.0,137.0,589.0
33.63333333333271,0.4402936183541186,199.0,137.0,589.0
33.64999999999937,0.43970002371684874,199.0,137.0,589.0
33.66666666666604,0.43997002027500504,199.0,137.0,589.0
33.683333333332705,0.4403384364530085,198.0,136.0,590.0
33.69999999999937,0.44048188523492293,198.0,136.0,590.0
33.716666666666036,0.44062470251275837,198.0,136.0,590.0
33.7333333333327,0.44010145560517405,198.0,136.0,590.0
33.74999999999937,0.43956641168169874,198.0,136.0,590.0
33.76666666666603,0.4395992897691988,198.0,136.0,590.0
33.7833333333327,0.43916661208930424,198.0,136.0,590.0
33.799999999999365,0.4394137925418705,198.0,136.0,590.0
33.81666666666603,0.43947990131496756,198.0,136.0,590.0
33.833333333332696,0.43915631680773143,198.0,136.0,590.0
33.84999999999936,0.4395381796207581,198.0,136.0,590.0
33.86666666666603,0.43995858927699616,197.0,135.0,591.0
33.88333333333269,0.44028010756371405,197.0,135.0,591.0
33.89999999999936,0.44025374259419564,197.0,135.0,591.0
33.916666666666025,0.44047159345227405,197.0,135.0,591.0
33.93333333333269,0.4406482984509389,197.0,135.0,591.0
33.949999999999356,0.44039077642411584,197.0,135.0,591.0
33.96666666666602,0.4404130898884336,197.0,135.0,591.0
33.98333333333269,0.4402037861686425,197.0,135.0,591.0
33.99999999999935,0.4401997305430895,197.0,135.0,591.0
34.01666666666602,0.44014950131374303,197.0,135.0,591.0
34.033333333332685,0.4400774192808166,197.0,135.0,591.0
34.04999999999935,0.43996568486226756,197.0,135.0,591.0
34.066666666666016,0.43996005435308666,197.0,135.0,591.0
34.08333333333268,0.4397477246078482,197.0,135.0,591.0
34.09999999999935,0.44008304025333594,197.0,135.0,591.0
34.11666666666601,0.4401299744864669,197.0,135.0,591.0
34.13333333333268,0.4394445473406463,196.0,134.0,592.0
34.149999999999345,0.44003002287164045,196.0,134.0,592.0
34.16666666666601,0.44043031038032765,196.0,134.0,592.0
34.183333333332676,0.43997610841944484,196.0,134.0,592.0
34.19999999999934,0.44024490279320133,196.0,134.0,592.0
34.21666666666601,0.4394418832197902,196.0,134.0,592.0
34.23333333333267,0.4396339579929596,196.0,134.0,592.0
